,Credit_Score
628,Poor
629,Standard
630,Standard
631,Standard
632,Poor
633,Poor
634,Poor
635,Poor
636,Poor
637,Poor
638,Poor
639,Poor
640,Standard
641,Standard
642,Standard
643,Standard
644,Standard
645,Standard
646,Standard
647,Standard
648,Good
649,Good
650,Standard
651,Good
652,Good
653,Good
654,Good
655,Good
656,Standard
657,Standard
658,Standard
659,Standard
660,Standard
661,Standard
662,Standard
663,Standard
664,Standard
665,Standard
666,Standard
667,Good
668,Good
669,Good
670,Good
671,Good
672,Standard
673,Standard
674,Standard
675,Good
676,Standard
677,Standard
678,Standard
679,Standard
680,Standard
681,Standard
682,Standard
683,Standard
684,Standard
685,Standard
686,Good
687,Good
688,Standard
689,Poor
690,Poor
691,Poor
692,Poor
693,Standard
694,Poor
695,Poor
696,Standard
697,Standard
698,Standard
699,Standard
700,Standard
701,Standard
702,Standard
703,Standard
704,Standard
705,Standard
706,Standard
707,Standard
708,Standard
709,Standard
710,Standard
711,Standard
712,Poor
713,Poor
714,Poor
715,Poor
716,Standard
717,Poor
718,Poor
719,Poor
720,Standard
721,Standard
722,Standard
723,Good
724,Good
725,Good
726,Standard
727,Standard
728,Good
729,Good
730,Good
731,Good
732,Good
733,Good
734,Good
735,Good
736,Standard
737,Standard
738,Standard
739,Standard
740,Standard
741,Standard
742,Poor
743,Poor
744,Standard
745,Standard
746,Standard
747,Standard
748,Standard
749,Standard
750,Standard
751,Standard
752,Poor
753,Poor
754,Poor
755,Standard
756,Standard
757,Standard
758,Standard
759,Poor
760,Standard
761,Standard
762,Standard
763,Standard
764,Standard
765,Standard
766,Standard
767,Standard
768,Good
769,Good
770,Good
771,Good
772,Good
773,Good
774,Standard
775,Good
776,Standard
777,Standard
778,Standard
779,Standard
780,Standard
781,Standard
782,Standard
783,Standard
784,Standard
785,Standard
786,Standard
787,Standard
788,Standard
789,Standard
790,Good
791,Good
792,Standard
793,Poor
794,Poor
795,Poor
796,Standard
797,Poor
798,Poor
799,Poor
800,Good
801,Good
802,Good
803,Good
804,Good
805,Good
806,Good
807,Good
808,Standard
809,Standard
810,Standard
811,Standard
812,Good
813,Good
814,Good
815,Standard
816,Poor
817,Poor
818,Poor
819,Poor
820,Standard
821,Poor
822,Poor
823,Poor
824,Standard
825,Standard
826,Standard
827,Standard
828,Standard
829,Standard
830,Standard
831,Standard
832,Standard
833,Standard
834,Standard
835,Standard
836,Standard
837,Standard
838,Poor
839,Poor
840,Poor
841,Poor
842,Poor
843,Poor
844,Poor
845,Poor
846,Poor
847,Poor
848,Standard
849,Standard
850,Standard
851,Standard
852,Standard
853,Standard
854,Standard
855,Standard
856,Standard
857,Standard
858,Standard
859,Standard
860,Standard
861,Standard
862,Poor
863,Poor
864,Standard
865,Standard
866,Standard
867,Standard
868,Standard
869,Standard
870,Standard
871,Standard
872,Poor
873,Poor
874,Poor
875,Poor
876,Poor
877,Poor
878,Poor
879,Standard
880,Poor
881,Poor
882,Standard
883,Poor
884,Poor
885,Poor
886,Poor
887,Poor
888,Standard
889,Standard
890,Good
891,Good
892,Standard
893,Good
894,Good
895,Good
896,Standard
897,Standard
898,Standard
899,Poor
900,Poor
901,Poor
902,Poor
903,Poor
904,Poor
905,Poor
906,Poor
907,Poor
908,Poor
909,Poor
910,Poor
911,Standard
912,Standard
913,Standard
914,Standard
915,Standard
916,Poor
917,Poor
918,Poor
919,Standard
920,Standard
921,Good
922,Good
923,Standard
924,Good
925,Good
926,Good
927,Good
928,Standard
929,Standard
930,Standard
931,Standard
932,Standard
933,Standard
934,Poor
935,Poor
936,Standard
937,Poor
938,Poor
939,Poor
940,Poor
941,Poor
942,Poor
943,Poor
944,Poor
945,Poor
946,Standard
947,Poor
948,Poor
949,Poor
950,Poor
951,Poor
952,Good
953,Good
954,Standard
955,Standard
956,Standard
957,Standard
958,Standard
959,Standard
960,Poor
961,Poor
962,Standard
963,Poor
964,Poor
965,Poor
966,Poor
967,Poor
968,Poor
969,Poor
970,Poor
971,Standard
972,Standard
973,Standard
974,Poor
975,Standard
976,Standard
977,Standard
978,Standard
979,Good
980,Good
981,Good
982,Standard
983,Standard
984,Good
985,Good
986,Good
987,Good
988,Good
989,Good
990,Standard
991,Good
992,Standard
993,Standard
994,Standard
995,Standard
996,Standard
997,Standard
998,Standard
999,Standard
1000,Poor
1001,Poor
1002,Standard
1003,Standard
1004,Standard
1005,Standard
1006,Standard
1007,Standard
1008,Standard
1009,Standard
1010,Standard
1011,Standard
1012,Standard
1013,Standard
1014,Standard
1015,Standard
1016,Good
1017,Good
1018,Good
1019,Good
1020,Standard
1021,Good
1022,Good
1023,Good
1024,Standard
1025,Standard
1026,Standard
1027,Standard
1028,Standard
1029,Standard
1030,Standard
1031,Standard
1032,Good
1033,Good
1034,Standard
1035,Good
1036,Good
1037,Good
1038,Good
1039,Standard
1040,Standard
1041,Standard
1042,Standard
1043,Standard
1044,Standard
1045,Standard
1046,Standard
1047,Standard
1048,Poor
1049,Poor
1050,Poor
1051,Poor
1052,Poor
1053,Poor
1054,Standard
1055,Poor
1056,Poor
1057,Poor
1058,Poor
1059,Standard
1060,Poor
1061,Poor
1062,Poor
1063,Poor
1064,Standard
1065,Standard
1066,Standard
1067,Standard
1068,Standard
1069,Standard
1070,Standard
1071,Standard
1072,Standard
1073,Standard
1074,Standard
1075,Standard
1076,Standard
1077,Standard
1078,Standard
1079,Standard
1080,Standard
1081,Standard
1082,Standard
1083,Standard
1084,Standard
1085,Standard
1086,Standard
1087,Standard
1088,Standard
1089,Standard
1090,Standard
1091,Standard
1092,Standard
1093,Standard
1094,Standard
1095,Standard
1096,Standard
1097,Standard
1098,Standard
1099,Standard
1100,Standard
1101,Standard
1102,Standard
1103,Standard
1104,Standard
1105,Standard
1106,Standard
1107,Standard
1108,Standard
1109,Standard
1110,Poor
1111,Poor
1112,Standard
1113,Standard
1114,Standard
1115,Standard
1116,Standard
1117,Standard
1118,Standard
1119,Standard
1120,Poor
1121,Poor
1122,Poor
1123,Poor
1124,Poor
1125,Poor
1126,Poor
1127,Poor
1128,Good
1129,Good
1130,Good
1131,Good
1132,Good
1133,Good
1134,Good
1135,Good
1136,Good
1137,Good
1138,Good
1139,Good
1140,Good
1141,Good
1142,Good
1143,Good
1144,Standard
1145,Standard
1146,Standard
1147,Standard
1148,Standard
1149,Standard
1150,Standard
1151,Standard
1152,Standard
1153,Standard
1154,Standard
1155,Standard
1156,Standard
1157,Standard
1158,Standard
1159,Standard
1160,Good
1161,Good
1162,Good
1163,Good
1164,Good
1165,Good
1166,Standard
1167,Good
1168,Standard
1169,Standard
1170,Standard
1171,Good
1172,Standard
1173,Good
1174,Standard
1175,Good
1176,Poor
1177,Standard
1178,Poor
1179,Poor
1180,Poor
1181,Poor
1182,Poor
1183,Poor
1184,Standard
1185,Good
1186,Good
1187,Good
1188,Good
1189,Standard
1190,Good
1191,Good
1192,Poor
1193,Poor
1194,Poor
1195,Standard
1196,Poor
1197,Poor
1198,Poor
1199,Poor
1200,Standard
1201,Standard
1202,Standard
1203,Standard
1204,Standard
1205,Standard
1206,Standard
1207,Standard
1208,Standard
1209,Standard
1210,Standard
1211,Standard
1212,Standard
1213,Standard
1214,Standard
1215,Standard
1216,Standard
1217,Standard
1218,Standard
1219,Standard
1220,Standard
1221,Standard
1222,Standard
1223,Standard
1224,Good
1225,Good
1226,Good
1227,Good
1228,Good
1229,Good
1230,Good
1231,Standard
1232,Good
1233,Good
1234,Good
1235,Standard
1236,Good
1237,Good
1238,Good
1239,Good
1240,Standard
1241,Standard
1242,Standard
1243,Standard
1244,Standard
1245,Standard
1246,Standard
1247,Standard
1248,Standard
1249,Good
1250,Good
1251,Standard
1252,Standard
1253,Standard
1254,Good
1255,Good
1256,Standard
1257,Standard
1258,Standard
1259,Standard
1260,Standard
1261,Standard
1262,Standard
1263,Standard
1264,Poor
1265,Standard
1266,Poor
1267,Poor
1268,Standard
1269,Poor
1270,Poor
1271,Poor
1272,Standard
1273,Standard
1274,Standard
1275,Standard
1276,Standard
1277,Standard
1278,Standard
1279,Standard
1280,Poor
1281,Standard
1282,Standard
1283,Poor
1284,Poor
1285,Poor
1286,Poor
1287,Poor
1288,Standard
1289,Standard
1290,Standard
1291,Good
1292,Good
1293,Good
1294,Good
1295,Good
1296,Standard
1297,Standard
1298,Standard
1299,Standard
1300,Standard
1301,Standard
1302,Standard
1303,Standard
1304,Poor
1305,Poor
1306,Poor
1307,Poor
1308,Standard
1309,Poor
1310,Poor
1311,Poor
1312,Standard
1313,Standard
1314,Poor
1315,Poor
1316,Poor
1317,Poor
1318,Poor
1319,Poor
1320,Poor
1321,Standard
1322,Poor
1323,Poor
1324,Poor
1325,Poor
1326,Poor
1327,Poor
1328,Poor
1329,Poor
1330,Poor
1331,Poor
1332,Poor
1333,Poor
1334,Standard
1335,Standard
1336,Good
1337,Good
1338,Good
1339,Good
1340,Good
1341,Good
1342,Good
1343,Good
1344,Standard
1345,Standard
1346,Standard
1347,Good
1348,Good
1349,Good
1350,Good
1351,Good
1352,Poor
1353,Poor
1354,Poor
1355,Poor
1356,Poor
1357,Poor
1358,Poor
1359,Poor
1360,Standard
1361,Standard
1362,Standard
1363,Standard
1364,Standard
1365,Standard
1366,Standard
1367,Standard
1368,Poor
1369,Standard
1370,Poor
1371,Poor
1372,Poor
1373,Poor
1374,Poor
1375,Poor
1376,Standard
1377,Standard
1378,Standard
1379,Standard
1380,Standard
1381,Standard
1382,Standard
1383,Standard
1384,Standard
1385,Good
1386,Standard
1387,Good
1388,Standard
1389,Standard
1390,Standard
1391,Standard
1392,Poor
1393,Poor
1394,Poor
1395,Poor
1396,Standard
1397,Standard
1398,Poor
1399,Poor
1400,Standard
1401,Standard
1402,Standard
1403,Standard
1404,Standard
1405,Standard
1406,Standard
1407,Standard
1408,Standard
1409,Standard
1410,Standard
1411,Standard
1412,Standard
1413,Standard
1414,Standard
1415,Standard
1416,Standard
1417,Standard
1418,Standard
1419,Standard
1420,Standard
1421,Standard
1422,Standard
1423,Standard
1424,Standard
1425,Standard
1426,Standard
1427,Standard
1428,Poor
1429,Poor
1430,Standard
1431,Standard
1432,Standard
1433,Standard
1434,Standard
1435,Standard
1436,Standard
1437,Standard
1438,Standard
1439,Standard
1440,Good
1441,Good
1442,Good
1443,Good
1444,Good
1445,Good
1446,Good
1447,Standard
1448,Good
1449,Good
1450,Good
1451,Good
1452,Good
1453,Good
1454,Good
1455,Good
1456,Good
1457,Good
1458,Good
1459,Good
1460,Good
1461,Good
1462,Good
1463,Standard
1464,Standard
1465,Standard
1466,Standard
1467,Standard
1468,Standard
1469,Standard
1470,Standard
1471,Standard
1472,Poor
1473,Poor
1474,Poor
1475,Standard
1476,Poor
1477,Poor
1478,Standard
1479,Poor
1480,Standard
1481,Standard
1482,Standard
1483,Standard
1484,Standard
1485,Standard
1486,Standard
1487,Standard
1488,Poor
1489,Poor
1490,Poor
1491,Poor
1492,Poor
1493,Poor
1494,Standard
1495,Standard
1496,Good
1497,Good
1498,Good
1499,Standard
1500,Good
1501,Good
1502,Good
1503,Good
1504,Standard
1505,Poor
1506,Poor
1507,Poor
1508,Poor
1509,Poor
1510,Standard
1511,Poor
1512,Standard
1513,Poor
1514,Poor
1515,Poor
1516,Poor
1517,Poor
1518,Standard
1519,Poor
1520,Poor
1521,Poor
1522,Poor
1523,Standard
1524,Standard
1525,Standard
1526,Standard
1527,Standard
1528,Poor
1529,Poor
1530,Poor
1531,Standard
1532,Poor
1533,Poor
1534,Standard
1535,Standard
1536,Standard
1537,Poor
1538,Poor
1539,Poor
1540,Standard
1541,Poor
1542,Poor
1543,Poor
1544,Poor
1545,Standard
1546,Poor
1547,Poor
1548,Poor
1549,Poor
1550,Standard
1551,Standard
1552,Poor
1553,Poor
1554,Poor
1555,Poor
1556,Poor
1557,Poor
1558,Standard
1559,Standard
1560,Poor
1561,Poor
1562,Poor
1563,Poor
1564,Poor
1565,Poor
1566,Poor
1567,Poor
1568,Standard
1569,Standard
1570,Standard
1571,Standard
1572,Standard
1573,Standard
1574,Standard
1575,Standard
1576,Standard
1577,Standard
1578,Standard
1579,Poor
1580,Standard
1581,Poor
1582,Poor
1583,Standard
1584,Poor
1585,Poor
1586,Standard
1587,Poor
1588,Poor
1589,Poor
1590,Poor
1591,Poor
1592,Poor
1593,Poor
1594,Poor
1595,Standard
1596,Standard
1597,Poor
1598,Poor
1599,Poor
1600,Good
1601,Good
1602,Good
1603,Good
1604,Good
1605,Standard
1606,Good
1607,Good
1608,Standard
1609,Standard
1610,Standard
1611,Standard
1612,Standard
1613,Standard
1614,Standard
1615,Standard
1616,Poor
1617,Poor
1618,Poor
1619,Poor
1620,Poor
1621,Poor
1622,Poor
1623,Standard
1624,Standard
1625,Standard
1626,Standard
1627,Standard
1628,Standard
1629,Standard
1630,Good
1631,Good
1632,Standard
1633,Standard
1634,Standard
1635,Standard
1636,Standard
1637,Standard
1638,Standard
1639,Standard
1640,Good
1641,Standard
1642,Good
1643,Good
1644,Good
1645,Good
1646,Good
1647,Good
1648,Good
1649,Good
1650,Good
1651,Good
1652,Good
1653,Good
1654,Standard
1655,Good
1656,Good
1657,Good
1658,Good
1659,Good
1660,Good
1661,Good
1662,Good
1663,Good
1664,Standard
1665,Standard
1666,Standard
1667,Standard
1668,Standard
1669,Standard
1670,Good
1671,Good
1672,Poor
1673,Poor
1674,Poor
1675,Standard
1676,Poor
1677,Poor
1678,Standard
1679,Standard
1680,Standard
1681,Standard
1682,Standard
1683,Standard
1684,Standard
1685,Standard
1686,Standard
1687,Standard
1688,Good
1689,Good
1690,Good
1691,Good
1692,Good
1693,Good
1694,Standard
1695,Good
1696,Standard
1697,Standard
1698,Standard
1699,Standard
1700,Standard
1701,Standard
1702,Poor
1703,Poor
1704,Standard
1705,Poor
1706,Poor
1707,Poor
1708,Standard
1709,Poor
1710,Poor
1711,Poor
1712,Poor
1713,Poor
1714,Poor
1715,Poor
1716,Poor
1717,Poor
1718,Poor
1719,Poor
1720,Good
1721,Good
1722,Standard
1723,Good
1724,Good
1725,Good
1726,Standard
1727,Standard
1728,Good
1729,Good
1730,Good
1731,Good
1732,Good
1733,Good
1734,Good
1735,Good
1736,Standard
1737,Standard
1738,Standard
1739,Standard
1740,Standard
1741,Standard
1742,Standard
1743,Standard
1744,Poor
1745,Poor
1746,Poor
1747,Poor
1748,Poor
1749,Poor
1750,Standard
1751,Poor
1752,Poor
1753,Poor
1754,Poor
1755,Poor
1756,Standard
1757,Standard
1758,Poor
1759,Standard
1760,Poor
1761,Poor
1762,Poor
1763,Standard
1764,Poor
1765,Poor
1766,Poor
1767,Poor
1768,Standard
1769,Standard
1770,Standard
1771,Standard
1772,Standard
1773,Standard
1774,Standard
1775,Standard
1776,Standard
1777,Standard
1778,Standard
1779,Good
1780,Standard
1781,Good
1782,Good
1783,Standard
1784,Poor
1785,Poor
1786,Poor
1787,Standard
1788,Standard
1789,Standard
1790,Good
1791,Good
1792,Poor
1793,Standard
1794,Poor
1795,Standard
1796,Standard
1797,Standard
1798,Standard
1799,Standard
1800,Standard
1801,Poor
1802,Poor
1803,Poor
1804,Poor
1805,Poor
1806,Standard
1807,Standard
1808,Good
1809,Good
1810,Good
1811,Standard
1812,Standard
1813,Standard
1814,Standard
1815,Standard
1816,Good
1817,Good
1818,Good
1819,Good
1820,Good
1821,Good
1822,Good
1823,Standard
1824,Poor
1825,Poor
1826,Poor
1827,Standard
1828,Poor
1829,Poor
1830,Standard
1831,Standard
1832,Standard
1833,Standard
1834,Standard
1835,Standard
1836,Standard
1837,Standard
1838,Standard
1839,Standard
1840,Poor
1841,Poor
1842,Poor
1843,Poor
1844,Poor
1845,Poor
1846,Poor
1847,Poor
1848,Standard
1849,Standard
1850,Standard
1851,Standard
1852,Standard
1853,Standard
1854,Standard
1855,Standard
1856,Standard
1857,Poor
1858,Poor
1859,Poor
1860,Poor
1861,Standard
1862,Poor
1863,Poor
1864,Standard
1865,Standard
1866,Standard
1867,Standard
1868,Standard
1869,Standard
1870,Standard
1871,Standard
1872,Standard
1873,Standard
1874,Poor
1875,Standard
1876,Poor
1877,Poor
1878,Poor
1879,Poor
1880,Poor
1881,Poor
1882,Poor
1883,Poor
1884,Poor
1885,Standard
1886,Standard
1887,Poor
1888,Standard
1889,Standard
1890,Standard
1891,Standard
1892,Standard
1893,Standard
1894,Standard
1895,Standard
1896,Standard
1897,Standard
1898,Standard
1899,Standard
1900,Standard
1901,Standard
1902,Standard
1903,Standard
1904,Standard
1905,Standard
1906,Standard
1907,Standard
1908,Standard
1909,Standard
1910,Standard
1911,Standard
1912,Poor
1913,Poor
1914,Poor
1915,Poor
1916,Standard
1917,Standard
1918,Poor
1919,Poor
1920,Poor
1921,Poor
1922,Standard
1923,Poor
1924,Poor
1925,Poor
1926,Standard
1927,Standard
1928,Poor
1929,Poor
1930,Poor
1931,Standard
1932,Poor
1933,Poor
1934,Poor
1935,Poor
1936,Standard
1937,Standard
1938,Standard
1939,Standard
1940,Standard
1941,Standard
1942,Standard
1943,Standard
1944,Standard
1945,Standard
1946,Standard
1947,Standard
1948,Standard
1949,Standard
1950,Standard
1951,Standard
1952,Standard
1953,Standard
1954,Standard
1955,Standard
1956,Standard
1957,Standard
1958,Standard
1959,Standard
1960,Poor
1961,Poor
1962,Standard
1963,Standard
1964,Poor
1965,Poor
1966,Poor
1967,Poor
1968,Good
1969,Good
1970,Good
1971,Good
1972,Good
1973,Good
1974,Standard
1975,Good
1976,Poor
1977,Poor
1978,Poor
1979,Standard
1980,Standard
1981,Standard
1982,Poor
1983,Poor
1984,Standard
1985,Standard
1986,Standard
1987,Standard
1988,Standard
1989,Standard
1990,Standard
1991,Standard
1992,Standard
1993,Standard
1994,Standard
1995,Standard
1996,Standard
1997,Standard
1998,Standard
1999,Standard
2000,Standard
2001,Standard
2002,Standard
2003,Standard
2004,Standard
2005,Standard
2006,Good
2007,Good
2008,Good
2009,Good
2010,Good
2011,Standard
2012,Good
2013,Good
2014,Good
2015,Good
2016,Good
2017,Good
2018,Good
2019,Standard
2020,Good
2021,Standard
2022,Good
2023,Good
2024,Standard
2025,Poor
2026,Poor
2027,Poor
2028,Poor
2029,Poor
2030,Poor
2031,Standard
2032,Poor
2033,Poor
2034,Poor
2035,Poor
2036,Poor
2037,Poor
2038,Poor
2039,Poor
2040,Poor
2041,Poor
2042,Poor
2043,Poor
2044,Poor
2045,Poor
2046,Poor
2047,Poor
2048,Poor
2049,Poor
2050,Poor
2051,Poor
2052,Poor
2053,Poor
2054,Poor
2055,Poor
2056,Standard
2057,Standard
2058,Standard
2059,Standard
2060,Standard
2061,Standard
2062,Standard
2063,Standard
2064,Standard
2065,Standard
2066,Standard
2067,Standard
2068,Standard
2069,Standard
2070,Standard
2071,Standard
2072,Standard
2073,Standard
2074,Standard
2075,Poor
2076,Poor
2077,Poor
2078,Standard
2079,Poor
2080,Good
2081,Good
2082,Good
2083,Good
2084,Good
2085,Good
2086,Good
2087,Good
2088,Standard
2089,Standard
2090,Standard
2091,Standard
2092,Standard
2093,Standard
2094,Standard
2095,Standard
2096,Standard
2097,Standard
2098,Poor
2099,Standard
2100,Poor
2101,Poor
2102,Poor
2103,Poor
2104,Standard
2105,Good
2106,Good
2107,Good
2108,Good
2109,Good
2110,Standard
2111,Good
2112,Standard
2113,Standard
2114,Standard
2115,Standard
2116,Standard
2117,Standard
2118,Standard
2119,Standard
2120,Standard
2121,Poor
2122,Poor
2123,Poor
2124,Poor
2125,Poor
2126,Poor
2127,Poor
2128,Standard
2129,Standard
2130,Standard
2131,Standard
2132,Standard
2133,Standard
2134,Standard
2135,Standard
2136,Poor
2137,Standard
2138,Standard
2139,Poor
2140,Poor
2141,Poor
2142,Poor
2143,Poor
2144,Standard
2145,Standard
2146,Standard
2147,Standard
2148,Poor
2149,Poor
2150,Standard
2151,Standard
2152,Poor
2153,Standard
2154,Poor
2155,Poor
2156,Poor
2157,Poor
2158,Poor
2159,Poor
2160,Standard
2161,Standard
2162,Standard
2163,Standard
2164,Standard
2165,Standard
2166,Standard
2167,Standard
2168,Poor
2169,Poor
2170,Poor
2171,Poor
2172,Poor
2173,Poor
2174,Poor
2175,Poor
2176,Poor
2177,Poor
2178,Poor
2179,Poor
2180,Poor
2181,Poor
2182,Poor
2183,Poor
2184,Standard
2185,Standard
2186,Standard
2187,Standard
2188,Standard
2189,Standard
2190,Standard
2191,Standard
2192,Poor
2193,Poor
2194,Poor
2195,Standard
2196,Standard
2197,Standard
2198,Standard
2199,Poor
2200,Good
2201,Good
